#"Time (ps)","Potential Energy (kJ/mole)","Kinetic Energy (kJ/mole)","Temperature (K)","Speed (ns/day)"
2920.000000001857,-828.7725339762827,6639.503261729986,2079.553889588871,66.2
2925.0000000018754,-721.2611053409471,7588.588918329863,2376.8163037986087,66.2
2930.0000000018936,-786.1941990240556,8261.459651288058,2587.565646747065,66.2
2935.0000000019118,-819.3809244514962,4976.007451751655,1558.5316013862644,66.2
2940.00000000193,-889.9430978172204,4870.933057134425,1525.621328221413,66.2
2945.000000001948,-893.5803688636053,7513.10811144179,2353.1750162857084,66.2
2950.0000000019663,-798.4227272430483,11300.611589294069,3539.4561699675023,66.2
2955.0000000019845,-742.2001531947343,16324.062110493072,5112.847379928996,66.2
2960.0000000020027,-776.9637629013895,19728.233838815628,6179.065480801966,66.2
2965.000000002021,-570.5983280401949,26163.53672988479,8194.661923828404,66.2
2970.000000002039,-359.74353617001407,34637.122753146235,10848.667514127314,66.2
2975.0000000020573,-337.9627809047261,33997.036322312735,10648.186518118882,66.2
2980.0000000020755,-336.591274206908,29204.40058636939,9147.088635765145,66.2
2985.0000000020937,-487.67516480903805,27474.001177867132,8605.11152111643,66.2
2990.000000002112,-283.53859923054284,21693.105251782566,6794.481397972963,66.2
2995.00000000213,-283.0005003421661,16120.582274339027,5049.1156114447385,66.2
3000.000000002148,-418.7305287961748,12859.939095771751,4027.8519811314936,66.2
3005.0000000021664,-213.0283807753132,10723.900413849024,3358.824890670017,66.2
3010.0000000021846,-478.1042082391225,10741.024180573237,3364.188212938567,66.2
3015.000000002203,-270.79130043601106,14161.038705061921,4435.368424242169,66.2
3020.000000002221,-9.240843818267209,12726.576762899742,3986.081663817669,66.2
3025.000000002239,-28.735255706163272,8289.285934630352,2596.2810963034813,66.2
3030.0000000022574,-142.3319618380814,7575.556419669655,2372.734404564352,66.2
3035.0000000022756,-168.8987013164161,8225.186373878016,2576.204520447003,66.2
3040.0000000022937,-363.6314518603863,8409.904517270548,2634.059953064034,66.2
3045.000000002312,-386.8778541009821,8695.99278775585,2723.6654479634285,66.2
3050.00000000233,-447.6196883541173,9450.036312381133,2959.8388607535344,66.2
3055.0000000023483,-293.7595486334465,11860.203011207526,3714.7253839655214,66.2
3060.0000000023665,-369.63792804613684,14803.55502636115,4636.610484440208,66.2
3065.0000000023847,-342.6824201534908,10208.358772348301,3197.3524757067757,66.2
3070.000000002403,-428.6547304420655,6731.603624028558,2108.400575718917,66.2
3075.000000002421,-427.34735992029454,5527.580430548704,1731.289364766089,66.2
3080.0000000024393,-382.96798468356747,4278.93426977994,1340.2018273423455,66.2
3085.0000000024575,-463.2215967683335,3797.521272699011,1189.4188197717717,66.2
3090.0000000024756,-292.00622863030486,3397.1841051240303,1064.0295125963098,66.2
3095.000000002494,-394.9190425532899,3344.6045482184313,1047.5611085959467,66.2
3100.000000002512,-414.62849460659055,3029.1218637135366,948.7490110943711,66.2
3105.00000000253,-396.1188133384238,5348.63786301457,1675.2428959777496,66.2
3110.0000000025484,-473.97242974224855,10524.397490465752,3296.3387280835204,66.2
3115.0000000025666,-421.8934389201968,13140.851423243144,4115.836322760446,66.2
3120.000000002585,-459.43272020660567,12682.151102080656,3972.16713555975,66.2
3125.000000002603,-429.2473994900736,9031.948126361298,2828.889770263568,66.2
3130.000000002621,-491.8167779694261,6035.619975894435,1890.4120537597528,66.2
3135.0000000026394,-453.6640249880426,4436.763792415814,1389.6354950055897,66.2
3140.0000000026575,-515.3345150885528,3591.83314983272,1124.9953954450884,66.2
3145.0000000026757,-467.5605863801517,2694.2967928689,843.8786991208501,66.2
3150.000000002694,-532.1205679668816,2618.2939997872045,820.0739206995987,66.2
3155.000000002712,-531.4061943884682,2642.0486334251473,827.5140918735897,66.2
3160.0000000027303,-554.3690867469163,2355.544280187349,737.7782760040506,66.2
3165.0000000027485,-504.7580374407308,2328.4562020198255,729.2940391426195,66.2
3170.0000000027667,-536.7190074172847,2054.096180300413,643.361940335934,66.2
3175.000000002785,-568.8162869241957,2082.520886684107,652.2648215290718,66.2
3180.000000002803,-531.4064902120604,2851.5341154519906,893.1268842450197,66.2
3185.0000000028213,-599.499574933765,2681.4376111707275,839.8510843636586,66.2
3190.0000000028394,-555.6648189869022,6866.804794359126,2150.746833948579,66.2
3195.0000000028576,-475.97897232848175,9924.868318478726,3108.5606410218147,66.2
3200.000000002876,-497.72638655761864,9532.493618815311,2985.6652525121763,66.2
3205.000000002894,-570.2164178109754,3710.7402461994957,1162.238198859996,66.2
3210.000000002912,-611.0033110828316,2985.718873598411,935.15479276874,66.2
3215.0000000029304,-545.9302057179332,2840.8354249708045,889.7759553386514,66.2
3220.0000000029486,-584.7973268110098,2905.2169660015834,909.9408500288902,66.2
3225.0000000029668,-601.6123849384298,2119.498593736635,663.8465817147164,66.2
3230.000000002985,-594.7157680280798,3725.6646887576176,1166.912672438551,66.2
3235.000000003003,-602.4051804761162,9663.77099666452,3026.7825426105046,66.2
3240.0000000030213,-652.5384158583254,13341.616304311634,4178.717742177061,66.2
3245.0000000030395,-561.2171323729364,11816.324982747261,3700.9823792323236,66.2
3250.0000000030577,-530.3028651313407,8552.742093655601,2678.798004367225,66.2
3255.000000003076,-604.0434177360718,8279.94832978898,2593.35647202033,66.2
3260.000000003094,-591.1790450558033,9369.959593225756,2934.758090969909,66.2
